SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,92,懸浮微粒,普通,5,.49,69,133,66,18,2.36,97.86,,2014-03-12 22:00
三重,新北市,84,懸浮微粒,普通,6,2.26,,118,51,55,,,,2014-03-12 21:00
三義,苗栗縣,78,懸浮微粒,普通,3,.64,57,107,56,37,3.36,189.17,,2014-03-12 22:00
土城,新北市,68,懸浮微粒,普通,8,1.19,41,87,49,56,1.69,327.25,,2014-03-12 22:00
士林,台北市,64,懸浮微粒,普通,4,.65,24,78,31,42,.71,199.54,,2014-03-12 22:00
大同,台北市,71,懸浮微粒,普通,6,1.96,,92,41,61,,,,2014-03-12 22:00
大里,台中市,114,懸浮微粒,不良,5,1.27,63,177,111,58,1.05,152.01,,2014-03-12 22:00
大園,桃園縣,66,懸浮微粒,普通,7,.55,25,82,31,48,.82,131.92,,2014-03-12 22:00
大寮,高雄市,62,懸浮微粒,普通,5,.3,74,75,23,18,.56,237.13,,2014-03-12 22:00
小港,高雄市,92,懸浮微粒,普通,21,.97,56,135,48,59,1.6,183.13,,2014-03-12 22:00
中山,台北市,86,懸浮微粒,普通,5,1.52,17,122,39,55,1.1,331.38,,2014-03-12 22:00
中壢,桃園縣,74,懸浮微粒,普通,6,1.67,26,97,45,46,.64,215.45,,2014-03-12 22:00
仁武,高雄市,46,臭氧,良好,8,.83,55,,32,41,3.91,148.12,,2014-03-12 17:00
斗六,雲林縣,105,懸浮微粒,不良,6,.83,60,160,118,39,2.17,53.15,,2014-03-12 22:00
冬山,宜蘭縣,46,懸浮微粒,良好,2,.43,45,46,27,23,1.44,284.12,,2014-03-12 22:00
古亭,台北市,72,懸浮微粒,普通,6,1.29,25,94,29,65,1.67,320.91,,2014-03-12 22:00
台西,雲林縣,73,臭氧,普通,4,.52,88,95,43,17,2.81,113.54,,2014-03-12 22:00
台東,台東縣,52,懸浮微粒,普通,2,.64,43,53,25,16,1.4,221.65,,2014-03-12 22:00
台南,台南市,74,懸浮微粒,普通,6,.72,84,97,31,32,1.51,161.03,,2014-03-12 22:00
左營,高雄市,76,懸浮微粒,普通,10,.8,67,103,39,71,1.51,171.25,,2014-03-12 22:00
平鎮,桃園縣,71,懸浮微粒,普通,6,.78,33,92,35,44,1.19,71.45,,2014-03-12 22:00
永和,新北市,70,懸浮微粒,普通,6,2.41,16,90,34,78,.87,59.8,,2014-03-12 22:00
安南,台南市,84,懸浮微粒,普通,6,.77,80,117,47,36,1.91,162.21,,2014-03-12 22:00
朴子,嘉義縣,94,懸浮微粒,普通,3,.67,78,138,72,27,2.56,57.93,,2014-03-12 22:00
汐止,新北市,66,懸浮微粒,普通,7,1,22,81,53,65,1.29,272.48,,2014-03-12 22:00
竹山,南投縣,110,懸浮微粒,不良,3,.81,73,171,131,37,1.4,53,,2014-03-12 22:00
竹東,新竹縣,64,懸浮微粒,普通,4,.83,30,77,38,42,1.19,163.11,,2014-03-12 22:00
西屯,台中市,98,懸浮微粒,普通,5,.84,68,146,68,63,1.37,165.91,,2014-03-12 22:00
沙鹿,台中市,84,懸浮微粒,普通,5,.77,71,119,70,47,1.88,161.91,,2014-03-12 22:00
宜蘭,宜蘭縣,57,懸浮微粒,普通,2,.8,45,64,33,31,.75,215.82,,2014-03-12 22:00
忠明,台中市,104,懸浮微粒,不良,4,1.15,66,158,93,64,.67,91.07,,2014-03-12 22:00
松山,台北市,64,懸浮微粒,普通,6,1.22,24,79,41,67,1.17,54.26,,2014-03-12 22:00
板橋,新北市,72,懸浮微粒,普通,8,1.21,35,93,51,56,1.84,322.72,,2014-03-12 22:00
林口,新北市,56,懸浮微粒,普通,4,.59,28,62,31,37,.81,93.38,,2014-03-12 22:00
林園,高雄市,73,臭氧,普通,5,.33,87,24,10,21,1.62,154.81,,2014-03-12 22:00
花蓮,花蓮縣,44,懸浮微粒,良好,1,1.84,20,44,38,27,1.26,310.89,,2014-03-12 22:00
金門,金門縣,103,懸浮微粒,不良,5,1.05,14,156,85,42,.46,179.93,,2014-03-12 22:00
前金,高雄市,71,懸浮微粒,普通,10,.56,55,92,32,70,1.17,160.16,,2014-03-12 22:00
